system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
138,18.171636240969463,84,25.31253639122007,82.80631182566377,20.97229316000005,3,2020,"{""type"":""Point"",""coordinates"":[82.80631182566377,25.31253639122007]}"
139,18.126158705407022,83,25.435792893011428,82.85020980655149,27.786116030000017,2,2020,"{""type"":""Point"",""coordinates"":[82.85020980655149,25.435792893011428]}"
140,18.029924421412943,81,25.564238297018225,82.88888563503615,24.21086710999998,1,2020,"{""type"":""Point"",""coordinates"":[82.88888563503615,25.564238297018225]}"
141,18.171636240969463,82,25.31069599298339,82.83713811796183,27.35202749000001,1,2020,"{""type"":""Point"",""coordinates"":[82.83713811796183,25.31069599298339]}"
142,18.35549688305059,75,25.18390427997642,82.82754556936031,25.51142372000004,2,2020,"{""type"":""Point"",""coordinates"":[82.82754556936031,25.18390427997642]}"
143,18.092496176005227,80,25.389689817210215,82.81130186285988,26.748746960000005,1,2020,"{""type"":""Point"",""coordinates"":[82.81130186285988,25.389689817210215]}"
144,18.352536568590438,78,25.223112392768254,82.89189879426114,27.309302240000022,2,2020,"{""type"":""Point"",""coordinates"":[82.89189879426114,25.223112392768254]}"
145,18.193378757490507,80,25.26085238998117,82.90687578364336,24.49627178000003,3,2020,"{""type"":""Point"",""coordinates"":[82.90687578364336,25.26085238998117]}"
146,18.171636240969463,82,25.26329083172695,82.80685655856549,25.560985010000024,2,2020,"{""type"":""Point"",""coordinates"":[82.80685655856549,25.26329083172695]}"
147,18.193378757490507,80,25.279631974492812,82.91393783078706,24.489435740000033,1,2020,"{""type"":""Point"",""coordinates"":[82.91393783078706,25.279631974492812]}"
148,18.18313710202449,77,25.39867485943169,82.99415812862941,25.88569690999998,2,2020,"{""type"":""Point"",""coordinates"":[82.99415812862941,25.39867485943169]}"
149,18.356360563326177,76,25.22282368505912,83.00659527121648,24.176686910000058,1,2020,"{""type"":""Point"",""coordinates"":[83.00659527121648,25.22282368505912]}"
150,18.356360563326177,83,25.24289742999479,82.97235954241357,24.05534720000003,2,2020,"{""type"":""Point"",""coordinates"":[82.97235954241357,25.24289742999479]}"
151,18.18313710202449,82,25.382986838398356,83.03366117152358,23.95280660000003,2,2020,"{""type"":""Point"",""coordinates"":[83.03366117152358,25.382986838398356]}"
152,18.352536568590438,82,25.232075506618685,82.88395001305109,24.67400882000004,1,2020,"{""type"":""Point"",""coordinates"":[82.88395001305109,25.232075506618685]}"
153,18.193378757490507,79,25.251472917808996,82.9153219719801,24.797057540000026,2,2020,"{""type"":""Point"",""coordinates"":[82.9153219719801,25.251472917808996]}"
154,18.126158705407022,73,25.369809988266713,82.89081501050984,26.83419746000004,1,2020,"{""type"":""Point"",""coordinates"":[82.89081501050984,25.369809988266713]}"
155,18.352536568590438,81,25.24774000163446,82.89581680694864,24.90643418000002,1,2020,"{""type"":""Point"",""coordinates"":[82.89581680694864,25.24774000163446]}"
156,18.171636240969463,83,25.27331404989835,82.77829821395524,26.348838620000038,1,2020,"{""type"":""Point"",""coordinates"":[82.77829821395524,25.27331404989835]}"
157,18.18313710202449,80,25.382236862717104,83.0347047066307,24.562923169999976,2,2020,"{""type"":""Point"",""coordinates"":[83.0347047066307,25.382236862717104]}"
158,18.18313710202449,82,25.35746873515981,82.9845048046267,24.791930510000043,2,2020,"{""type"":""Point"",""coordinates"":[82.9845048046267,25.35746873515981]}"
159,18.11537976555502,80,25.456165263397608,82.99501043544649,26.646206360000008,2,2020,"{""type"":""Point"",""coordinates"":[82.99501043544649,25.456165263397608]}"
160,18.215983204175075,77,25.396429269720947,83.09924318004914,26.365928720000056,1,2020,"{""type"":""Point"",""coordinates"":[83.09924318004914,25.396429269720947]}"
161,18.193378757490507,80,25.33881589032539,82.92403742578472,20.78601107000003,1,2020,"{""type"":""Point"",""coordinates"":[82.92403742578472,25.33881589032539]}"
162,18.24020125413034,82,25.3040590151452,82.9746009722775,24.848327840000024,2,2020,"{""type"":""Point"",""coordinates"":[82.9746009722775,25.3040590151452]}"
163,18.171636240969463,83,25.261024119932088,82.79008799163026,19.88365379000004,3,2020,"{""type"":""Point"",""coordinates"":[82.79008799163026,25.261024119932088]}"
164,18.057945464759825,82,25.549932435588275,82.80687438982211,27.73655474000003,3,2020,"{""type"":""Point"",""coordinates"":[82.80687438982211,25.549932435588275]}"
165,18.193378757490507,79,25.25018070441826,82.88409189540839,24.995302700000025,2,2020,"{""type"":""Point"",""coordinates"":[82.88409189540839,25.25018070441826]}"
166,18.17428678560435,85,25.259251861840536,82.68749946006047,26.83419746000004,1,2020,"{""type"":""Point"",""coordinates"":[82.68749946006047,25.259251861840536]}"
167,18.171636240969463,85,25.332381750947583,82.80463588515026,19.21372187000003,1,2020,"{""type"":""Point"",""coordinates"":[82.80463588515026,25.332381750947583]}"
168,18.164555287788403,70,25.51641690475845,83.1682616032554,29.15332403000002,2,2020,"{""type"":""Point"",""coordinates"":[83.1682616032554,25.51641690475845]}"
169,18.08536884485619,83,25.493949341519524,82.87608674108705,22.42324265000002,1,2020,"{""type"":""Point"",""coordinates"":[82.87608674108705,25.493949341519524]}"
170,18.35549688305059,82,25.238207974485892,82.84867061413482,22.24550561000001,2,2020,"{""type"":""Point"",""coordinates"":[82.84867061413482,25.238207974485892]}"
171,18.057945464759825,80,25.45902671641122,82.76898391610301,22.87271228000003,3,2020,"{""type"":""Point"",""coordinates"":[82.76898391610301,25.45902671641122]}"
172,18.193378757490507,78,25.309663823100372,82.90979920766078,26.408653970000046,3,2020,"{""type"":""Point"",""coordinates"":[82.90979920766078,25.309663823100372]}"
173,18.08536884485619,82,25.47130391777325,82.90133761777304,21.319222190000005,2,2020,"{""type"":""Point"",""coordinates"":[82.90133761777304,25.47130391777325]}"
174,18.092496176005227,82,25.40833158510778,82.7982557953795,26.32320347000001,1,2020,"{""type"":""Point"",""coordinates"":[82.7982557953795,25.40833158510778]}"
